mal_id,title_english,type,source,episodes,duration,rating,score,scored_by,rank,popularity,members,favorites,year,demographics,studios,genres,themes
107,Jing: King of Bandits,TV,Manga,13,24,PG-13 - Teens 13 or older,7.24,15563,3735,4065,40497,213,2002,['Shounen'],['Studio Deen'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",[]
108,Jing: King of Bandits - Seventh Heaven,OVA,Manga,3,28,PG-13 - Teens 13 or older,7.24,5784,3733,6390,13767,27,,['Shounen'],['Studio Deen'],"['Adventure', 'Comedy', 'Fantasy']",['Psychological']
109,Burst Angel,TV,Original,24,23,PG-13 - Teens 13 or older,6.81,32819,6218,2830,76722,243,2004,[],['Gonzo'],"['Adventure', 'Sci-Fi']",['Mecha']
110,Cooking Master Boy,TV,Manga,52,23,PG-13 - Teens 13 or older,7.59,8846,1838,5353,21878,125,1997,['Shounen'],['Nippon Animation'],"['Action', 'Comedy', 'Drama', 'Gourmet']",[]
111,Corrector Yui,TV,Original,52,25,G - All Ages,7.04,8038,4910,5576,19574,107,1999,[],['Nippon Animation'],"['Adventure', 'Comedy', 'Sci-Fi']",[]
112,The Cosmopolitan Prayers,TV,Original,8,17,PG-13 - Teens 13 or older,5.01,3738,14320,7309,9981,4,2004,[],"['Imagin', 'Studio Live']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Ecchi']",['Super Power']
113,Stellvia,TV,Original,26,23,PG-13 - Teens 13 or older,7.42,10599,2655,4875,27400,130,2003,[],['Xebec'],"['Romance', 'Sci-Fi']","['Mecha', 'Space']"
114,Cromartie High School,TV,Manga,26,11,PG-13 - Teens 13 or older,7.9,58661,953,1729,155170,1778,2003,['Shounen'],['Production I.G'],['Comedy'],"['Delinquents', 'Gag Humor', 'Parody', 'School']"
115,El Hazard: The Alternative World,TV,Original,13,24,PG-13 - Teens 13 or older,6.88,5810,5820,6434,13545,10,1998,[],['AIC'],"['Adventure', 'Comedy', 'Fantasy']",['Isekai']
116,El-Hazard: The Wanderers,TV,Original,26,23,PG-13 - Teens 13 or older,7.02,8097,5069,5479,20446,42,1995,[],['AIC'],"['Adventure', 'Comedy', 'Fantasy', 'Romance']",['Isekai']
117,El Hazard: The Magnificent World,OVA,Original,7,34,PG-13 - Teens 13 or older,7.33,8981,3145,5236,22978,107,,[],['AIC'],"['Adventure', 'Comedy', 'Fantasy', 'Romance']","['Crossdressing', 'Isekai']"
118,El Hazard 2: The Magnificent World,OVA,Original,4,30,PG-13 - Teens 13 or older,6.89,5144,5775,7084,10758,6,,[],['AIC'],"['Adventure', 'Comedy', 'Fantasy']",['Isekai']
119,,TV,Visual novel,13,14,PG-13 - Teens 13 or older,6.55,18582,7862,4212,37659,50,2004,[],"['Trinet Entertainment', 'Zexcs']","['Comedy', 'Drama', 'Romance']",[]
120,Fruits Basket,TV,Manga,26,24,PG-13 - Teens 13 or older,7.7,295123,1458,439,568132,10025,2001,['Shoujo'],['Studio Deen'],"['Drama', 'Romance', 'Supernatural']","['Love Polygon', 'School']"
121,Fullmetal Alchemist,TV,Manga,51,24,R - 17+ (violence & profanity),8.12,932838,563,89,1558778,26923,2003,['Shounen'],['Bones'],"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",['Military']
122,Looking for the Full Moon,TV,Manga,52,24,PG-13 - Teens 13 or older,7.96,50493,824,2146,118508,1932,2002,['Shoujo'],['Studio Deen'],"['Comedy', 'Drama', 'Romance', 'Supernatural']","['Music', 'Showbiz']"
123,Mysterious Play,TV,Manga,52,23,PG-13 - Teens 13 or older,7.61,54556,1767,2002,129243,2167,1995,['Shoujo'],['Studio Pierrot'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Isekai', 'Martial Arts', 'Reverse Harem']"
124,Mysterious Play: Eikoden,OVA,Manga,4,30,PG-13 - Teens 13 or older,6.79,9547,6351,5610,19345,39,,['Shoujo'],['Studio Pierrot'],"['Adventure', 'Drama', 'Fantasy', 'Romance']",['Isekai']
125,Twin Love,TV,Original,13,24,PG-13 - Teens 13 or older,6.52,17148,8044,4202,37899,26,2004,[],['Telecom Animation Film'],"['Comedy', 'Romance']",['School']
126,Twin Love 2,TV,Original,13,24,PG-13 - Teens 13 or older,6.95,12847,5423,4442,33867,88,2005,[],"['ufotable', 'feel.', 'Studio Flag']","['Comedy', 'Drama', 'Romance']",[]
127,,TV,Game,24,25,PG-13 - Teens 13 or older,7.0,10292,5150,5094,24560,61,2000,[],['Gonzo'],"['Comedy', 'Fantasy', 'Sci-Fi']",['Mecha']
128,,OVA,Game,6,25,PG-13 - Teens 13 or older,6.79,5019,6353,6847,11657,21,,[],['Gonzo'],"['Drama', 'Sci-Fi']",['Mecha']
129,Saiyuki,TV,Manga,50,23,R - 17+ (violence & profanity),7.53,22296,2109,3279,59259,805,2000,['Shounen'],['Studio Pierrot'],"['Action', 'Adventure', 'Drama', 'Fantasy']",[]
130,Saiyuki Reload,TV,Manga,25,23,PG-13 - Teens 13 or older,7.35,14287,3019,4178,38406,121,2003,['Josei'],['Studio Pierrot'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['Mythology']
131,Saiyuki Gunlock,TV,Manga,26,24,PG-13 - Teens 13 or older,7.36,9098,2966,5022,25464,49,2004,['Josei'],['Studio Pierrot'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['Mythology']
132,Getbackers,TV,Manga,49,24,PG-13 - Teens 13 or older,7.58,55747,1888,2003,129109,918,2002,['Shounen'],['Studio Deen'],"['Action', 'Mystery', 'Supernatural']",['Super Power']
133,Green Green,TV,Visual novel,12,24,R+ - Mild Nudity,6.14,68333,10255,2086,122589,233,2003,[],['Studio Matrix'],"['Comedy', 'Romance', 'Ecchi']",['School']
134,Gunslinger Girl,TV,Manga,13,24,R - 17+ (violence & profanity),7.4,81718,2752,1373,204189,1257,2003,[],['Madhouse'],"['Action', 'Drama', 'Sci-Fi', 'Suspense']","['Military', 'Psychological']"
135,Hikaru no Go,TV,Manga,75,23,PG-13 - Teens 13 or older,8.08,66905,626,1782,150236,2583,2001,['Shounen'],['Studio Pierrot'],"['Comedy', 'Drama', 'Supernatural']","['School', 'Strategy Game']"
136,Hunter x Hunter,TV,Manga,62,23,PG-13 - Teens 13 or older,8.44,315325,195,378,649120,12190,1999,['Shounen'],['Nippon Animation'],"['Action', 'Adventure', 'Fantasy']",[]
137,,OVA,Manga,8,23,PG-13 - Teens 13 or older,8.33,70917,292,1917,137615,445,,['Shounen'],['Nippon Animation'],"['Action', 'Adventure', 'Fantasy']",[]
138,,OVA,Manga,8,23,PG-13 - Teens 13 or older,8.19,92877,463,1522,182898,325,,['Shounen'],['Nippon Animation'],"['Action', 'Adventure', 'Fantasy']",[]
139,,OVA,Manga,14,23,PG-13 - Teens 13 or older,8.26,84188,373,1709,157566,262,,['Shounen'],['Nippon Animation'],"['Action', 'Adventure', 'Fantasy']",[]
141,Jinki: Extend,TV,Manga,12,23,R - 17+ (violence & profanity),6.23,5031,9754,6438,13522,11,2005,['Shounen'],['feel.'],['Sci-Fi'],['Mecha']
142,,TV,Manga,44,24,PG-13 - Teens 13 or older,7.5,30349,2262,3208,61626,572,1999,['Shoujo'],['Toei Animation'],"['Action', 'Drama', 'Romance', 'Supernatural']","['Mahou Shoujo', 'Reincarnation', 'School']"
143,Destiny of the Shrine Maiden,TV,Manga,12,24,PG-13 - Teens 13 or older,6.83,32250,6104,2824,77013,718,2004,['Shounen'],['TNK'],"['Drama', 'Girls Love', 'Supernatural']",['Mecha']
144,,TV,Visual novel,13,24,G - All Ages,7.08,28936,4714,2960,71398,230,2002,[],['Toei Animation'],"['Drama', 'Romance', 'Supernatural']",[]
145,His and Her Circumstances,TV,Manga,26,24,PG-13 - Teens 13 or older,7.61,87048,1779,1103,255136,2907,1998,['Shoujo'],"['Gainax', 'J.C.Staff']","['Comedy', 'Drama', 'Romance']",['School']
146,This Ugly Yet Beautiful World,TV,Original,12,24,R+ - Mild Nudity,6.74,30095,6684,3116,65059,163,2004,[],"['Gainax', 'Shaft']","['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']",[]
147,Rumbling Hearts,TV,Visual novel,14,23,R+ - Mild Nudity,7.18,71536,4096,1781,150362,1107,2003,[],['Studio Fantasia'],"['Drama', 'Romance']",['Love Polygon']
148,Diamond Daydreams,TV,Visual novel,12,24,PG-13 - Teens 13 or older,6.74,3286,6680,7102,10704,11,2004,[],['Studio Deen'],"['Drama', 'Romance']",[]
149,Loveless,TV,Manga,12,24,PG-13 - Teens 13 or older,6.71,72799,6887,1806,147401,1297,2005,['Josei'],['J.C.Staff'],"['Boys Love', 'Drama', 'Mystery', 'Supernatural']",[]
150,Blood+,TV,Original,50,23,R - 17+ (violence & profanity),7.61,165669,1758,680,398341,4515,2005,[],['Production I.G'],"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural']","['Gore', 'Military', 'Vampire']"
151,,OVA,Manga,3,45,R+ - Mild Nudity,7.2,12823,3995,4413,34375,208,,[],"['Gainax', 'Toei Animation']","['Action', 'Comedy', 'Girls Love', 'Sci-Fi', 'Ecchi']",[]
152,,TV,Original,24,23,R - 17+ (violence & profanity),7.36,13893,2969,4465,33408,142,2005,[],"['Gonzo', 'AIC']","['Action', 'Sci-Fi']",['Super Power']
153,The Twelve Kingdoms,TV,Novel,45,25,PG-13 - Teens 13 or older,8.02,49858,721,1589,173583,2657,2002,[],['Studio Pierrot'],"['Action', 'Adventure', 'Fantasy']",['Isekai']
154,Shaman King,TV,Manga,64,23,PG-13 - Teens 13 or older,7.74,203631,1349,709,385243,3770,2001,['Shounen'],['Xebec'],"['Action', 'Adventure', 'Supernatural']",[]
155,X - The Movie,Movie,Manga,1,97,R+ - Mild Nudity,6.59,20088,7652,3886,44305,148,,['Shoujo'],['Madhouse'],"['Action', 'Drama', 'Fantasy', 'Mystery']",['Super Power']
156,X,TV,Manga,24,24,R+ - Mild Nudity,7.41,37254,2731,2561,90211,781,2001,['Shoujo'],['Madhouse'],"['Action', 'Drama', 'Fantasy', 'Mystery']",['Super Power']
157,Negima!,TV,Manga,26,23,PG-13 - Teens 13 or older,6.94,66779,5496,1795,148900,509,2005,['Shounen'],['Xebec'],"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'School', 'Super Power']"
158,Maria Watches Over Us,TV,Light novel,13,23,PG-13 - Teens 13 or older,7.32,23698,3182,2816,77343,728,2004,['Shoujo'],['Studio Deen'],"['Drama', 'Girls Love']",['School']
159,The Melody of Oblivion,TV,Manga,24,23,PG-13 - Teens 13 or older,6.39,6836,8818,5452,20799,42,2004,['Shounen'],['J.C.Staff'],"['Adventure', 'Fantasy', 'Horror', 'Sci-Fi']","['Mecha', 'Psychological', 'Space', 'Super Power']"
